z, snapnum, center_x, center_y, center_z
11.271444350399372, 036, 3480.077440321416, 3541.6283212192866, 3473.2318850574707
11.16989171907492, 037, 3509.3362395733284, 3571.8490379673794, 3502.381988521817
11.070006076713758, 038, 3538.5687300944305, 3602.147886266698, 3531.5501758061337
11.000480103177296, 039, 3559.174380650876, 3623.5796886763837, 3552.1593134934774
10.970313692832521, 040, 3568.1797256163372, 3632.967739083641, 3561.18216166243
10.87084525648944, 041, 3598.1469568004027, 3664.305937832104, 3591.294234662632
10.77301627607709, 042, 3628.036633502711, 3695.703352124216, 3621.47198973527
10.676786564153382, 043, 3657.8461076378358, 3727.141294730655, 3651.7129788849143
10.579435000620148, 044, 3688.426185802518, 3759.4912451110968, 3682.857194507259
10.485012090004101, 045, 3718.503243065257, 3791.379887222074, 3713.590609590085
10.389521699759952, 046, 3749.3487468691096, 3824.1319820109507, 3745.199331132927
10.29560607088979, 047, 3780.121170188992, 3856.8277296934507, 3776.813774695833
10.201971618937897, 048, 3811.2520703449777, 3889.911260074757, 3808.869759476667
10.109876754113454, 049, 3842.3297566174488, 3922.9334830046982, 3840.938460212795
10.01806967908142, 050, 3873.7799307894556, 3956.340543058319, 3873.4539298055265
9.999890046298916, 051, 3880.065087136538, 3963.014833653036, 3879.958381251309
9.927767465099484, 052, 3905.188436396687, 3989.687394759522, 3905.983321140299
9.837758836818642, 053, 3936.975850275413, 4023.416038989024, 3938.9606383067294
9.74806535696792, 054, 3969.1446631813674, 4057.5213716157587, 3972.386462905519
9.659844380694343, 055, 4001.2809431928335, 4091.55515117215, 4005.8270493132563
9.571942073357633, 056, 4033.807315127305, 4125.949059234555, 4039.713244101613
9.484378349765402, 057, 4066.724714245904, 4160.69722732486, 4074.0394665180315
9.397171992102479, 058, 4100.038146754013, 4195.800767615918, 4108.799263805903
9.311404489009968, 059, 4133.341981413579, 4230.828374944039, 4143.546153826249
9.227040307082937, 060, 4166.656056480214, 4265.7946475054905, 4178.271161902026
9.141987905311261, 061, 4200.83053257463, 4301.584118746609, 4213.832438500313
9.058338387722731, 062, 4235.043068724695, 4337.337974204098, 4249.352464535973
9.000000000000002, 063, 4259.269529598051, 4362.616308054693, 4274.444362716457
8.976057536985792, 064, 4269.301368853051, 4373.075387842407, 4284.8179304784035
8.893153938683717, 065, 4304.444357408713, 4409.685051534257, 4321.076891118606
8.811617024284534, 066, 4339.64072636595, 4446.309556761145, 4357.255805767166
8.731413042290935, 067, 4374.892999577521, 4482.9636333813105, 4393.348748098329
8.650646640832445, 068, 4411.04116061472, 4520.536239246614, 4430.209654818261
8.571209804115838, 069, 4447.243788665567, 4558.171944250426, 4466.97702937885
8.492168964780358, 070, 4483.92112703271, 4596.3231258075, 4504.080593405953
8.41353667611758, 071, 4521.072743959273, 4635.00995654114, 4541.518653844377
8.33619650053484, 072, 4558.277810189757, 4673.816864394704, 4578.863117003085
8.259259262862878, 073, 4595.961348872352, 4713.211644612476, 4616.541640612389
8.182736517450303, 074, 4634.1186773042145, 4753.231933492598, 4654.568965987657
8.10663879349832, 075, 4672.729644636883, 4793.92127834556, 4692.985932426048
8.0317919212143, 076, 4711.335144721614, 4834.861964529568, 4731.431995833513
8.000090003823503, 077, 4727.866653417296, 4852.484285240142, 4747.937387570676
7.957362974305253, 078, 4750.310201275442, 4876.494735109627, 4770.408424898806
7.88336152648805, 079, 4789.616432068939, 4918.7377226279505, 4809.989435904254
7.810572699897744, 080, 4828.823035105996, 4961.059029281947, 4849.790843280334
7.737439945040133, 081, 4868.769386313359, 5004.302625169106, 4890.680463693773
7.665511313953168, 082, 4908.621673987141, 5047.519247866245, 4931.802310509823
7.594018606689225, 083, 4948.825556321653, 5091.125184006761, 4973.612864217701
7.522969441749222, 084, 4989.405711687478, 5135.020762727274, 5016.120788206736
7.453085391044166, 085, 5029.906267565037, 5178.691628840323, 5058.831174209444
7.382932351794869, 086, 5071.137502517009, 5222.974266497457, 5102.605350007334
7.313934161663276, 087, 5112.276315565589, 5266.846744313624, 5146.488695966274
